Iteration 00 | Test Loss = -0.4571
Iteration 01 | Test Loss = -0.3143
Iteration 02 | Test Loss = -0.4857
Iteration 03 | Test Loss = -0.6286
Iteration 04 | Test Loss = -0.5429
Iteration 05 | Test Loss = -0.6571
Iteration 06 | Test Loss = -0.4857
Iteration 07 | Test Loss = -0.6000
Iteration 08 | Test Loss = -0.5429
Iteration 09 | Test Loss = -0.4571
Iteration 10 | Test Loss = -0.5429
Iteration 11 | Test Loss = -0.6000
Iteration 12 | Test Loss = -0.5714
Iteration 13 | Test Loss = -0.4571
Iteration 14 | Test Loss = -0.4857
Iteration 15 | Test Loss = -0.3714
Iteration 16 | Test Loss = -0.4857
Iteration 17 | Test Loss = -0.5143
Iteration 18 | Test Loss = -0.6571
Iteration 19 | Test Loss = -0.4000
Result for food_biotac_baseline_svmlinear: -0.5129 ± 0.0897

Iteration 00 | Test Loss = -0.4000
Iteration 01 | Test Loss = -0.4857
Iteration 02 | Test Loss = -0.4857
Iteration 03 | Test Loss = -0.6000
Iteration 04 | Test Loss = -0.4286
Iteration 05 | Test Loss = -0.7143
Iteration 06 | Test Loss = -0.5714
Iteration 07 | Test Loss = -0.5429
Iteration 08 | Test Loss = -0.5143
Iteration 09 | Test Loss = -0.4286
Iteration 10 | Test Loss = -0.4857
Iteration 11 | Test Loss = -0.5714
Iteration 12 | Test Loss = -0.5143
Iteration 13 | Test Loss = -0.4857
Iteration 14 | Test Loss = -0.5143
Iteration 15 | Test Loss = -0.5429
Iteration 16 | Test Loss = -0.5429
Iteration 17 | Test Loss = -0.4571
Iteration 18 | Test Loss = -0.6000
Iteration 19 | Test Loss = -0.4571
Result for food_biotac_baseline_svmrbf: -0.5171 ± 0.0711

Iteration 00 | Test Loss = -0.5143
Iteration 01 | Test Loss = -0.3429
Iteration 02 | Test Loss = -0.5143
Iteration 03 | Test Loss = -0.7429
Iteration 04 | Test Loss = -0.4571
Iteration 05 | Test Loss = -0.6000
Iteration 06 | Test Loss = -0.6000
Iteration 07 | Test Loss = -0.5429
Iteration 08 | Test Loss = -0.5143
Iteration 09 | Test Loss = -0.4286
Iteration 10 | Test Loss = -0.5714
Iteration 11 | Test Loss = -0.6000
Iteration 12 | Test Loss = -0.5143
Iteration 13 | Test Loss = -0.4857
Iteration 14 | Test Loss = -0.5714
Iteration 15 | Test Loss = -0.4000
Iteration 16 | Test Loss = -0.3714
Iteration 17 | Test Loss = -0.4857
Iteration 18 | Test Loss = -0.5429
Iteration 19 | Test Loss = -0.4286
Result for food_biotac_baseline_mlp: -0.5114 ± 0.0908

Iteration 00 | Test Loss = -0.6571
Iteration 01 | Test Loss = -0.7143
Iteration 02 | Test Loss = -0.7143
Iteration 03 | Test Loss = -0.8857
Iteration 04 | Test Loss = -0.7143
Iteration 05 | Test Loss = -0.6857
Iteration 06 | Test Loss = -0.7143
Iteration 07 | Test Loss = -0.7714
Iteration 08 | Test Loss = -0.8571
Iteration 09 | Test Loss = -0.7143
Iteration 10 | Test Loss = -0.7429
Iteration 11 | Test Loss = -0.9143
Iteration 12 | Test Loss = -0.7429
Iteration 13 | Test Loss = -0.6857
Iteration 14 | Test Loss = -0.7714
Iteration 15 | Test Loss = -0.6571
Iteration 16 | Test Loss = -0.7714
Iteration 17 | Test Loss = -0.8286
Iteration 18 | Test Loss = -0.7429
Iteration 19 | Test Loss = -0.6857
Result for food_biotac_fft_svmlinear: -0.7486 ± 0.0709

Iteration 00 | Test Loss = -0.4857
Iteration 01 | Test Loss = -0.4857
Iteration 02 | Test Loss = -0.6857
Iteration 03 | Test Loss = -0.7714
Iteration 04 | Test Loss = -0.5429
Iteration 05 | Test Loss = -0.6857
Iteration 06 | Test Loss = -0.6000
Iteration 07 | Test Loss = -0.7429
Iteration 08 | Test Loss = -0.5714
Iteration 09 | Test Loss = -0.6286
Iteration 10 | Test Loss = -0.6857
Iteration 11 | Test Loss = -0.6286
Iteration 12 | Test Loss = -0.7143
Iteration 13 | Test Loss = -0.6286
Iteration 14 | Test Loss = -0.6286
Iteration 15 | Test Loss = -0.5429
Iteration 16 | Test Loss = -0.5429
Iteration 17 | Test Loss = -0.6000
Iteration 18 | Test Loss = -0.5714
Iteration 19 | Test Loss = -0.6286
Result for food_biotac_fft_svmrbf: -0.6186 ± 0.0773

Iteration 00 | Test Loss = -0.6857
Iteration 01 | Test Loss = -0.6571
Iteration 02 | Test Loss = -0.7143
Iteration 03 | Test Loss = -0.8000
Iteration 04 | Test Loss = -0.5143
Iteration 05 | Test Loss = -0.6286
Iteration 06 | Test Loss = -0.7714
Iteration 07 | Test Loss = -0.6857
Iteration 08 | Test Loss = -0.6571
Iteration 09 | Test Loss = -0.6857
Iteration 10 | Test Loss = -0.7429
Iteration 11 | Test Loss = -0.8286
Iteration 12 | Test Loss = -0.7714
Iteration 13 | Test Loss = -0.6286
Iteration 14 | Test Loss = -0.5714
Iteration 15 | Test Loss = -0.6286
Iteration 16 | Test Loss = -0.7429
Iteration 17 | Test Loss = -0.6286
Iteration 18 | Test Loss = -0.7143
Iteration 19 | Test Loss = -0.6286
Result for food_biotac_fft_mlp: -0.6843 ± 0.0764

Iteration 00 | Test Loss = -0.7429
Iteration 01 | Test Loss = -0.5714
Iteration 02 | Test Loss = -0.7143
Iteration 03 | Test Loss = -0.6857
Iteration 04 | Test Loss = -0.5714
Iteration 05 | Test Loss = -0.7143
Iteration 06 | Test Loss = -0.5429
Iteration 07 | Test Loss = -0.5714
Iteration 08 | Test Loss = -0.7143
Iteration 09 | Test Loss = -0.6571
Iteration 10 | Test Loss = -0.5714
Iteration 11 | Test Loss = -0.6000
Iteration 12 | Test Loss = -0.6286
Iteration 13 | Test Loss = -0.6571
Iteration 14 | Test Loss = -0.7429
Iteration 15 | Test Loss = -0.6571
Iteration 16 | Test Loss = -0.6000
Iteration 17 | Test Loss = -0.5714
Iteration 18 | Test Loss = -0.6571
Iteration 19 | Test Loss = -0.5714
