Iteration 00 | Test Loss = -0.6667
Iteration 01 | Test Loss = -0.5833
Iteration 02 | Test Loss = -0.7500
Iteration 03 | Test Loss = -0.5833
Iteration 04 | Test Loss = -0.3333
Iteration 05 | Test Loss = -0.5000
Iteration 06 | Test Loss = -0.2500
Iteration 07 | Test Loss = -0.5833
Iteration 08 | Test Loss = -0.5000
Iteration 09 | Test Loss = -0.6667
Iteration 10 | Test Loss = -0.4167
Iteration 11 | Test Loss = -0.4167
Iteration 12 | Test Loss = -0.5000
Iteration 13 | Test Loss = -0.4167
Iteration 14 | Test Loss = -0.6667
Iteration 15 | Test Loss = -0.4167
Iteration 16 | Test Loss = -0.3333
Iteration 17 | Test Loss = -0.5000
Iteration 18 | Test Loss = -0.1667
Iteration 19 | Test Loss = -0.3333
Result for handoverrod_biotac_baseline_svmlinear: -0.4792 ± 0.1488

Iteration 00 | Test Loss = -0.5833
Iteration 01 | Test Loss = -0.5833
Iteration 02 | Test Loss = -0.5000
Iteration 03 | Test Loss = -0.7500
Iteration 04 | Test Loss = -0.9167
Iteration 05 | Test Loss = -0.6667
Iteration 06 | Test Loss = -0.7500
Iteration 07 | Test Loss = -0.5000
Iteration 08 | Test Loss = -0.5833
Iteration 09 | Test Loss = -0.6667
Iteration 10 | Test Loss = -0.6667
Iteration 11 | Test Loss = -0.5833
Iteration 12 | Test Loss = -0.5833
Iteration 13 | Test Loss = -0.5000
Iteration 14 | Test Loss = -0.8333
Iteration 15 | Test Loss = -0.4167
Iteration 16 | Test Loss = -0.5000
Iteration 17 | Test Loss = -0.8333
Iteration 18 | Test Loss = -0.5000
Iteration 19 | Test Loss = -0.8333
Result for handoverrod_biotac_baseline_svmrbf: -0.6375 ± 0.1376

Iteration 00 | Test Loss = -0.5833
Iteration 01 | Test Loss = -0.5000
Iteration 02 | Test Loss = -0.7500
Iteration 03 | Test Loss = -0.6667
Iteration 04 | Test Loss = -0.7500
Iteration 05 | Test Loss = -0.7500
Iteration 06 | Test Loss = -0.6667
Iteration 07 | Test Loss = -0.4167
Iteration 08 | Test Loss = -0.6667
Iteration 09 | Test Loss = -0.7500
Iteration 10 | Test Loss = -0.3333
Iteration 11 | Test Loss = -0.5833
Iteration 12 | Test Loss = -0.5833
Iteration 13 | Test Loss = -0.4167
Iteration 14 | Test Loss = -0.6667
Iteration 15 | Test Loss = -0.3333
Iteration 16 | Test Loss = -0.3333
Iteration 17 | Test Loss = -0.5833
Iteration 18 | Test Loss = -0.4167
Iteration 19 | Test Loss = -0.5833
Result for handoverrod_biotac_baseline_mlp: -0.5667 ± 0.1434

Iteration 00 | Test Loss = -0.5833
Iteration 01 | Test Loss = -0.6667
Iteration 02 | Test Loss = -0.5833
Iteration 03 | Test Loss = -0.5833
Iteration 04 | Test Loss = -0.7500
Iteration 05 | Test Loss = -0.7500
Iteration 06 | Test Loss = -0.8333
Iteration 07 | Test Loss = -0.5000
Iteration 08 | Test Loss = -0.7500
Iteration 09 | Test Loss = -0.5833
Iteration 10 | Test Loss = -0.5000
Iteration 11 | Test Loss = -0.8333
Iteration 12 | Test Loss = -0.5000
Iteration 13 | Test Loss = -0.5000
Iteration 14 | Test Loss = -0.7500
Iteration 15 | Test Loss = -0.7500
Iteration 16 | Test Loss = -0.4167
Iteration 17 | Test Loss = -0.7500
Iteration 18 | Test Loss = -0.7500
Iteration 19 | Test Loss = -0.6667
Result for handoverrod_biotac_fft_svmlinear: -0.6500 ± 0.1225

Iteration 00 | Test Loss = -0.3333
Iteration 01 | Test Loss = -0.5000
Iteration 02 | Test Loss = -0.4167
Iteration 03 | Test Loss = -0.5000
Iteration 04 | Test Loss = -0.8333
Iteration 05 | Test Loss = -0.7500
Iteration 06 | Test Loss = -0.7500
Iteration 07 | Test Loss = -0.7500
Iteration 08 | Test Loss = -0.6667
Iteration 09 | Test Loss = -0.6667
Iteration 10 | Test Loss = -0.5000
Iteration 11 | Test Loss = -0.6667
Iteration 12 | Test Loss = -0.6667
Iteration 13 | Test Loss = -0.4167
Iteration 14 | Test Loss = -0.6667
Iteration 15 | Test Loss = -0.6667
Iteration 16 | Test Loss = -0.4167
Iteration 17 | Test Loss = -0.9167
Iteration 18 | Test Loss = -0.5000
Iteration 19 | Test Loss = -0.6667
Result for handoverrod_biotac_fft_svmrbf: -0.6125 ± 0.1520

Iteration 00 | Test Loss = -0.5833
Iteration 01 | Test Loss = -0.4167
Iteration 02 | Test Loss = -0.5000
Iteration 03 | Test Loss = -0.5833
Iteration 04 | Test Loss = -0.7500
Iteration 05 | Test Loss = -0.6667
Iteration 06 | Test Loss = -0.5000
Iteration 07 | Test Loss = -0.4167
Iteration 08 | Test Loss = -0.8333
Iteration 09 | Test Loss = -0.9167
Iteration 10 | Test Loss = -0.4167
Iteration 11 | Test Loss = -0.7500
Iteration 12 | Test Loss = -0.7500
Iteration 13 | Test Loss = -0.5833
Iteration 14 | Test Loss = -0.5833
Iteration 15 | Test Loss = -0.7500
Iteration 16 | Test Loss = -0.5000
Iteration 17 | Test Loss = -0.5833
Iteration 18 | Test Loss = -0.6667
Iteration 19 | Test Loss = -0.5000
Result for handoverrod_biotac_fft_mlp: -0.6125 ± 0.1401

Iteration 00 | Test Loss = -0.5455
Iteration 01 | Test Loss = -0.2727
Iteration 02 | Test Loss = -0.3636
Iteration 03 | Test Loss = -0.3636
Iteration 04 | Test Loss = -0.6364
Iteration 05 | Test Loss = -0.1818
Iteration 06 | Test Loss = -0.2727
Iteration 07 | Test Loss = -0.3636
Iteration 08 | Test Loss = -0.1818
Iteration 09 | Test Loss = -0.2727
Iteration 10 | Test Loss = -0.2727
Iteration 11 | Test Loss = -0.2727
Iteration 12 | Test Loss = -0.5455
Iteration 13 | Test Loss = -0.4545
Iteration 14 | Test Loss = -0.2727
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.3636
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.3636
Iteration 19 | Test Loss = -0.2727
